music,genre,rating,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
id_19215,"relaxing, ambient, nature, chillout, classic",8,47,0.604,0.594,10,-6.706,1,0.0259,0.757,0.635,0.148,0.333,109.931
id_88552,"relaxing, ambient, Isochronic, greogrean_chant, nature",3,67,0.542,0.531,9,-7.481,1,0.0301,0.0033,1.51E-06,0.338,0.671,105.97
id_45411,"relaxing, ambient, greogrean_chant, nature, binucalor, chillout, meditation",3,56,0.644,0.831,11,-7.118,0,0.0334,0.138,0.424,0.115,0.252,104.996
id_82757,"greogrean_chant, nature, chillout, classic, meditation",1,49,0.415,0.355,6,-10.494,0,0.0316,0.985,0.0932,0.103,0.36,113.993
id_69469,"relaxing, zen, nature, binucalor, chillout, classic",6,66,0.525,0.578,9,-4.563,1,0.12,0.0132,0.00916,0.108,0.537,123.696
id_32573,"relaxing, ambient, zen, greogrean_chant, nature, binucalor",7,68,0.417,0.63,9,-7.24,1,0.0898,0.0209,0.0134,0.0543,0.341,94.214
id_64443,"Isochronic, zen, nature, binucalor, chillout, classic",1,38,0.398,0.864,10,-8.199,1,0.0492,0.523,0,0.0985,0.782,148.47
id_26437,"relaxing, zen, nature, binucalor, classic",3,37,0.167,0.953,7,-2.919,1,0.0694,0.0472,0,0.0941,0.46,145.06
id_10116,"relaxing, ambient, zen, Isochronic, chillout, classic, meditation",8,35,0.772,0.692,11,-8.192,1,0.0513,0.00742,0.00246,0.268,0.869,126.97
id_43,"relaxing, zen, greogrean_chant, nature, binucalor, meditation",4,38,0.575,0.904,1,-3.501,0,0.0384,0.00141,0.000209,0.149,0.769,105.071
id_79830,"ambient, zen, Isochronic, nature, binucalor, chillout, meditation",5,52,0.472,0.826,9,-3.938,0,0.0594,0.000617,0.000713,0.187,0.132,122.326
id_96236,"ambient, Isochronic, binucalor, classic, meditation",3,40,0.653,0.337,0,-14.722,0,0.0347,0.878,6.22E-05,0.0841,0.214,84.146
id_15722,"Isochronic, zen, nature, binucalor, chillout, classic",1,46,0.749,0.547,9,-11.342,0,0.0471,0.147,0.866,0.109,0.101,129.002
id_60242,"relaxing, ambient, zen, greogrean_chant, chillout, classic, meditation",7,32,0.469,0.902,10,-6.147,1,0.0651,0.00617,0.000521,0.0813,0.413,123.972
id_44907,"Isochronic, greogrean_chant, nature, chillout, classic",7,66,0.525,0.578,9,-4.563,1,0.12,0.0132,0.00916,0.108,0.537,123.696
id_65584,"relaxing, zen, nature, chillout, classic",1,58,0.557,0.32,1,-10.792,0,0.0438,0.739,3.99E-05,0.112,0.377,176.647
id_17133,"relaxing, Isochronic, greogrean_chant, binucalor, chillout, classic, meditation",6,79,0.705,0.814,4,-5.466,0,0.0346,0.00115,0.00312,0.203,0.259,110
id_205,"relaxing, ambient, zen, nature, chillout, meditation",3,33,0.162,0.112,0,-17.167,1,0.0379,0.954,0.915,0.116,0.0504,70.04
id_52417,"ambient, Isochronic, binucalor, classic, meditation",6,40,0.603,0.946,8,-3.369,0,0.228,0.000335,0.0604,0.0936,0.3,133.986
id_56139,"relaxing, ambient, nature, binucalor, chillout, classic",9,56,0.648,0.564,9,-3.972,1,0.0322,0.216,0,0.0854,0.357,132.932
id_81865,"zen, greogrean_chant, nature, binucalor, meditation",5,50,0.306,0.54,5,-7.196,1,0.0414,0.625,0.00454,0.152,0.147,75.382
id_27829,"relaxing, classic, ambient, greogrean_chant",5,63,0.815,0.605,5,-9.118,0,0.0368,0.033,0.684,0.114,0.795,102.643
id_18899,"relaxing, ambient, zen, nature, binucalor, classic, meditation",2,30,0.511,0.698,7,-7.057,1,0.0413,0.0958,0.000214,0.375,0.858,170.746
id_30152,"ambient, zen, Isochronic, greogrean_chant, chillout, meditation",3,44,0.744,0.928,10,-5.628,0,0.0495,0.000409,0.624,0.132,0.507,123.014
id_88801,"ambient, greogrean_chant, nature, binucalor, chillout, meditation",6,63,0.523,0.76,5,-12.437,1,0.0325,0.103,0.00068,0.0666,0.581,94.267
id_39036,"ambient, zen, greogrean_chant, chillout, classic, meditation",4,46,0.472,0.925,9,-4.57,1,0.0415,0.000305,4.44E-06,0.0755,0.746,146.97
id_50544,"Isochronic, zen, ambient, binucalor, chillout",7,64,0.575,0.936,10,-4.913,0,0.0512,0.000128,0.0146,0.0828,0.879,150.234
id_31796,"relaxing, Isochronic, zen, classic",3,26,0.584,0.59,8,-7.479,1,0.0323,0.533,0.0334,0.0906,0.628,122.042
id_16501,"relaxing, zen, greogrean_chant, chillout, classic, meditation",9,72,0.724,0.603,10,-6.261,0,0.0317,0.183,0.000469,0.0948,0.569,111.493
id_24084,"relaxing, Isochronic, zen, ambient, chillout, classic",9,40,0.406,0.961,2,-3.382,0,0.157,0.000177,0.00183,0.325,0.508,186.025
id_47460,"Isochronic, zen, greogrean_chant, binucalor, chillout, classic",7,52,0.533,0.739,7,-9.361,1,0.0561,0.00299,3.69E-06,0.475,0.636,86.345
id_66155,"relaxing, ambient, binucalor, chillout, classic, meditation",8,30,0.455,0.841,7,-8.871,1,0.0471,0.0135,0.0241,0.0794,0.509,186.099
id_43009,"Isochronic, zen, greogrean_chant, chillout, classic",5,43,0.237,0.658,4,-7.813,1,0.0335,0.136,3.00E-05,0.142,0.267,158.351
id_1494,"relaxing, ambient, zen, greogrean_chant, chillout, classic",6,23,0.224,0.889,5,-6.345,1,0.0672,0.0116,8.74E-05,0.411,0.34,134.936
id_11006,"ambient, Isochronic, greogrean_chant, chillout, classic, meditation",9,37,0.529,0.743,1,-6.865,1,0.091,0.00378,5.46E-06,0.0432,0.616,112.985
id_6151,"relaxing, ambient, Isochronic, nature, binucalor",5,64,0.536,0.845,2,-5.765,1,0.0615,0.0033,0,0.0465,0.6,159.953
id_10656,"relaxing, ambient, zen, nature, binucalor, chillout",1,54,0.447,0.544,0,-6.509,1,0.378,0.466,0.133,0.547,0.625,139.925
id_77437,"relaxing, Isochronic, zen, chillout, classic, meditation",5,34,0.716,0.33,0,-13.283,1,0.046,0.193,2.94E-05,0.124,0.572,139.927
id_9915,"ambient, zen, nature, chillout, meditation",9,56,0.252,0.872,8,-3.752,1,0.0777,0.00912,8.79E-06,0.109,0.399,126.938
id_98786,"zen, greogrean_chant, nature, chillout, meditation",9,37,0.605,0.555,5,-10.323,1,0.0823,0.357,0.00145,0.226,0.212,86.984
id_40681,"relaxing, Isochronic, zen, greogrean_chant, binucalor, classic",2,49,0.899,0.763,2,-11.548,1,0.0601,0.262,0.627,0.0869,0.905,122.005
id_46641,"relaxing, ambient, zen, Isochronic, greogrean_chant, binucalor",6,58,0.462,0.84,2,-6.667,1,0.0346,5.05E-05,6.47E-05,0.0893,0.805,75.542
id_61218,"ambient, Isochronic, greogrean_chant, nature, binucalor, meditation",8,44,0.15,0.211,9,-12.814,0,0.0369,0.792,0.174,0.169,0.141,82.68
id_31988,"ambient, zen, greogrean_chant, chillout, meditation",8,44,0.447,0.568,2,-9.172,1,0.0423,0.473,0.00028,0.0824,0.309,117.561
id_76712,"relaxing, Isochronic, ambient, zen, binucalor, meditation",5,50,0.375,0.661,6,-7.113,0,0.0362,2.29E-05,0.0135,0.23,0.512,91.611
id_81080,"chillout, Isochronic, meditation, classic",9,40,0.252,0.147,2,-19.74,0,0.0365,0.911,0.949,0.103,0.0317,108.025
id_30784,"relaxing, ambient, nature, binucalor, chillout, meditation",5,45,0.345,0.811,1,-11.948,0,0.0654,0.0606,0.0466,0.357,0.625,142.834
id_47188,"relaxing, ambient, Isochronic, nature, binucalor, chillout, classic",5,41,0.431,0.451,1,-9.064,1,0.0299,0.858,0.267,0.136,0.257,141.406
id_42456,"relaxing, ambient, zen, greogrean_chant, chillout, classic, meditation",1,56,0.398,0.92,2,-3.267,0,0.0491,0.00311,0.000531,0.108,0.226,200.131
id_83131,"ambient, Isochronic, zen, nature, binucalor, chillout",9,30,0.56,0.399,10,-9.848,1,0.0284,0.128,0.726,0.112,0.283,136.903
id_82744,"relaxing, ambient, zen, chillout, classic, meditation",3,48,0.595,0.696,4,-4.551,1,0.0311,0.0492,0,0.12,0.725,131.561
id_91005,"relaxing, zen, greogrean_chant, binucalor, classic, meditation",2,45,0.277,0.0456,10,-21.903,0,0.0529,0.984,0.928,0.107,0.0398,99.421
id_12781,"relaxing, meditation, chillout, greogrean_chant",6,52,0.589,0.274,2,-12.442,1,0.031,0.302,0.000829,0.107,0.23,95.666
id_26487,"relaxing, zen, greogrean_chant, nature, classic, meditation",4,51,0.833,0.716,9,-11.265,1,0.04,0.533,0,0.058,0.9,104.8
id_72085,"relaxing, zen, greogrean_chant, nature, chillout, meditation",6,54,0.18,0.915,0,-6.855,1,0.0946,0.0224,1.43E-05,0.0929,0.101,94.578
id_75276,"relaxing, ambient, Isochronic, nature, binucalor, chillout, classic",6,40,0.513,0.956,5,-5.407,0,0.159,0.00381,0,0.391,0.458,150.181
id_32947,"relaxing, ambient, zen, Isochronic, greogrean_chant, binucalor, classic",3,58,0.54,0.746,7,-9.412,1,0.045,0.13,8.73E-06,0.0976,0.826,163.809
id_83647,"relaxing, greogrean_chant, nature, binucalor, chillout, classic, meditation",4,0,0.705,0.862,0,-5.962,0,0.0921,0.0884,0.918,0.26,0.424,125.303
id_74980,"relaxing, ambient, greogrean_chant, binucalor, chillout, meditation",1,59,0.664,0.503,11,-7.85,0,0.159,0.377,0,0.387,0.404,113.97
id_26894,"greogrean_chant, nature, binucalor, classic, meditation",3,25,0.324,0.948,9,-4.609,1,0.0522,8.85E-06,0.561,0.165,0.342,90.542
id_32311,"relaxing, Isochronic, zen, ambient, binucalor",1,31,0.506,0.832,7,-3.913,1,0.0596,0.00154,2.15E-05,0.087,0.32,140.903
id_32345,"relaxing, ambient, zen, greogrean_chant, binucalor, meditation",2,2,0.669,0.932,2,-5.19,1,0.0404,0.0761,0,0.191,0.835,119.986
id_94381,"relaxing, ambient, binucalor, chillout, classic",5,40,0.604,0.808,0,-6.135,0,0.0438,0.0126,0.0813,0.484,0.369,128.958
id_6944,"ambient, Isochronic, zen, greogrean_chant, nature, chillout, classic",8,44,0.515,0.491,5,-11.1,0,0.0274,0.869,0.564,0.0977,0.223,146.908
id_74863,"ambient, zen, greogrean_chant, nature, binucalor, chillout, classic",6,40,0.652,0.515,11,-12.034,0,0.0324,0.239,0.751,0.0991,0.203,134.969
id_14351,"relaxing, ambient, zen, greogrean_chant, binucalor, classic, meditation",1,43,0.664,0.535,7,-7.348,1,0.05,0.465,1.57E-06,0.27,0.361,85.154
id_89062,"ambient, Isochronic, zen, greogrean_chant, binucalor, chillout, meditation",6,36,0.435,0.51,0,-6.074,1,0.0363,0.164,2.12E-05,0.183,0.409,85.635
id_3362,"relaxing, ambient, Isochronic, nature, binucalor",4,28,0.677,0.772,3,-7.438,1,0.424,0.303,2.15E-05,0.299,0.721,148.163
id_21726,"relaxing, Isochronic, nature, binucalor, chillout, meditation",6,34,0.552,0.898,0,-5.593,1,0.0773,0.0736,0.000156,0.407,0.457,177.685
id_52643,"relaxing, zen, nature, binucalor, chillout, meditation",1,63,0.566,0.663,8,-9.068,1,0.0278,0.0945,0.294,0.0915,0.762,91.108
id_94555,"chillout, nature, zen, ambient",9,41,0.875,0.63,2,-10.452,0,0.2,0.761,0.000136,0.0715,0.819,109.977
id_29291,"Isochronic, zen, nature, binucalor, chillout, classic",8,40,0.513,0.956,5,-5.407,0,0.159,0.00381,0,0.391,0.458,150.181
id_56386,"relaxing, ambient, Isochronic, greogrean_chant, meditation",2,54,0.567,0.666,0,-9.647,1,0.0298,0.0244,0.251,0.107,0.251,106.001
id_21573,"relaxing, ambient, classic, chillout",4,57,0.724,0.61,7,-10.025,1,0.0358,0.413,0.0651,0.243,0.591,123.985
id_49073,"relaxing, ambient, zen, greogrean_chant, classic, meditation",3,60,0.766,0.806,8,-10.011,1,0.0403,0.124,0.171,0.119,0.76,123.509
id_1815,"relaxing, ambient, zen, greogrean_chant, binucalor, meditation",4,63,0.286,0.907,7,-9.67,1,0.0374,0.000277,0.202,0.0837,0.746,156.395
id_39347,"ambient, zen, greogrean_chant, nature, chillout",1,47,0.825,0.569,5,-8.334,0,0.0483,0.0617,0.776,0.094,0.502,123.013
id_22,"ambient, zen, nature, classic, meditation",9,69,0.55,0.765,7,-8.684,1,0.0287,4.76E-06,0.873,0.132,0.419,139.46
id_59487,"Isochronic, zen, nature, binucalor, chillout, meditation",9,32,0.275,0.933,2,-5.14,0,0.0879,6.86E-05,0.0457,0.206,0.164,100.47
id_90721,"relaxing, Isochronic, zen, ambient, nature, classic",9,34,0.709,0.239,0,-21.361,1,0.0427,0.946,0.923,0.0826,0.364,110
id_63503,"chillout, classic, zen, greogrean_chant",6,34,0.634,0.614,11,-11.002,0,0.0381,0.404,0.00864,0.12,0.421,146.108
id_81295,"ambient, greogrean_chant, nature, binucalor, chillout",8,43,0.195,0.0832,9,-24.21,1,0.0405,0.673,0.875,0.0959,0.0329,119.945
id_70784,"ambient, zen, greogrean_chant, nature, chillout, meditation",6,36,0.542,0.872,9,-2.553,1,0.0402,0.0495,9.81E-05,0.0823,0.311,137.976
id_86779,"relaxing, zen, greogrean_chant, nature, binucalor, meditation",5,46,0.774,0.714,0,-5.009,0,0.0427,0.00388,0.000466,0.045,0.811,111.964
id_68751,"relaxing, ambient, meditation, chillout",5,41,0.359,0.802,5,-2.945,1,0.0528,0.00687,1.54E-05,0.398,0.433,152.481
id_63951,"relaxing, zen, nature, binucalor, chillout, classic",2,71,0.599,0.742,11,-6.886,1,0.0419,0.0488,0.32,0.0916,0.493,131.014
id_11057,"Isochronic, meditation, binucalor, classic",3,75,0.767,0.787,3,-9.897,1,0.0331,0.0163,0.583,0.0513,0.964,126.879
id_36670,"Isochronic, ambient, greogrean_chant, nature, binucalor, meditation",3,36,0.545,0.823,3,-7.866,0,0.0357,0.00624,0.000589,0.103,0.905,99.117
id_1121,"ambient, greogrean_chant, binucalor, chillout, classic",3,54,0.801,0.637,0,-6.406,1,0.0565,0.169,3.75E-05,0.0925,0.769,77.012
id_83543,"Isochronic, ambient, zen, greogrean_chant, binucalor, meditation",7,61,0.568,0.829,7,-7.066,1,0.0303,0.218,0.00418,0.0976,0.79,124.201
id_91059,"relaxing, Isochronic, zen, greogrean_chant, nature, chillout, classic",2,59,0.545,0.365,6,-8.97,1,0.0396,0.136,4.86E-06,0.201,0.233,150.125
id_50554,"ambient, zen, greogrean_chant, nature, binucalor",4,37,0.488,0.775,4,-9.387,1,0.0567,0.0435,0.000443,0.181,0.826,81.004
id_52263,"ambient, zen, Isochronic, greogrean_chant, meditation",7,76,0.717,0.577,8,-5.436,1,0.0491,0.708,0.00428,0.0899,0.235,104.927
id_1643,"relaxing, Isochronic, greogrean_chant, binucalor, chillout, classic",6,72,0.724,0.603,10,-6.261,0,0.0317,0.183,0.000469,0.0948,0.569,111.493
id_38729,"relaxing, classic, binucalor, greogrean_chant",4,54,0.47,0.913,7,-10.196,1,0.0343,6.59E-05,0.267,0.222,0.977,130.425
id_9006,"Isochronic, zen, ambient, binucalor, chillout",6,38,0.356,0.899,3,-6.211,1,0.243,0.00755,0,0.28,0.456,140.82
id_23519,"relaxing, Isochronic, greogrean_chant, nature, binucalor, chillout, classic, meditation",8,56,0.761,0.797,11,-4.818,0,0.0645,0.123,1.03E-05,0.196,0.782,119.975
id_18171,"relaxing, ambient, Isochronic, greogrean_chant, meditation",4,42,0.3,0.194,6,-19.867,1,0.038,0.949,0.95,0.139,0.0887,172.835
id_68830,"relaxing, ambient, greogrean_chant, nature, chillout",3,55,0.289,0.841,8,-4.33,1,0.146,0.00582,0.00769,0.267,0.399,183.17
id_36070,"Isochronic, zen, greogrean_chant, binucalor, classic",2,53,0.616,0.824,6,-3.646,0,0.128,0.00658,0.0257,0.3,0.206,125.024
id_15180,"relaxing, Isochronic, ambient, greogrean_chant, nature, binucalor",5,59,0.688,0.737,6,-9.31,0,0.0678,0.0769,0.641,0.114,0.666,131.042
id_55575,"Isochronic, greogrean_chant, nature, binucalor, meditation",5,64,0.653,0.875,2,-5.815,0,0.0274,0.00976,1.03E-05,0.329,0.61,109.988
id_33452,"relaxing, ambient, greogrean_chant, nature, binucalor, meditation",5,43,0.683,0.47,11,-15.561,1,0.0494,0.0268,0.827,0.11,0.205,128.02
id_63472,"relaxing, zen, greogrean_chant, nature, binucalor, classic, meditation",1,46,0.615,0.829,4,-8.118,0,0.0413,0.181,0.00153,0.0849,0.607,118.004
id_8870,"relaxing, Isochronic, zen, ambient, greogrean_chant, nature, chillout",1,60,0.747,0.571,9,-12.9,0,0.086,0.48,1.05E-06,0.242,0.965,91.838
id_56759,"relaxing, Isochronic, greogrean_chant, nature, binucalor, classic, meditation",2,60,0.536,0.704,10,-7.612,1,0.0417,0.0932,0,0.227,0.702,103.134
id_61631,"relaxing, classic, zen, binucalor",4,27,0.541,0.882,3,-3.929,0,0.219,0.158,0,0.079,0.423,142.867
id_85534,"ambient, Isochronic, greogrean_chant, nature, binucalor, classic, meditation",5,36,0.567,0.631,0,-8.739,1,0.0451,0.216,2.49E-06,0.426,0.673,135.858
id_42913,"relaxing, Isochronic, greogrean_chant, nature, chillout, classic, meditation",3,63,0.713,0.868,0,-6.644,0,0.0305,0.00206,9.23E-05,0.225,0.641,119.98
id_55351,"relaxing, ambient, zen, nature, chillout, classic",2,34,0.59,0.608,1,-9.083,1,0.0266,0.207,0.733,0.211,0.536,129.393
id_11329,"chillout, ambient, binucalor, greogrean_chant",4,57,0.167,0.921,6,-4.881,0,0.061,0.000141,0.0716,0.239,0.315,168.225
id_74023,"ambient, greogrean_chant, chillout, classic, meditation",9,53,0.553,0.828,9,-4.091,1,0.0609,0.11,0,0.2,0.902,152.638
id_52528,"relaxing, ambient, Isochronic, binucalor, chillout",6,47,0.351,0.129,8,-18.496,0,0.0318,0.819,0.904,0.115,0.0379,107.649
id_91762,"relaxing, Isochronic, zen, greogrean_chant, nature, chillout",9,52,0.577,0.464,7,-7.943,1,0.024,0.0979,1.30E-06,0.154,0.346,90.557
id_23832,"chillout, nature, classic, Isochronic",9,63,0.758,0.779,8,-4.405,1,0.038,0.000717,0,0.109,0.588,124.987
id_56625,"relaxing, ambient, Isochronic, binucalor, chillout, classic",2,67,0.466,0.763,11,-7.748,0,0.0391,0.0542,0,0.119,0.473,123.539
id_83812,"ambient, binucalor, nature, Isochronic",7,45,0.493,0.711,5,-5.994,1,0.0684,0.00496,2.71E-05,0.519,0.313,138.032
id_37360,"Isochronic, zen, ambient, binucalor, chillout, classic, meditation",2,46,0.592,0.8,7,-6.086,1,0.0285,0.0225,6.35E-05,0.17,0.838,138.759
id_24595,"relaxing, ambient, greogrean_chant, nature, binucalor, classic",2,44,0.678,0.612,4,-9.051,0,0.0291,0.793,0.00647,0.0945,0.589,101.046
id_57793,"greogrean_chant, nature, chillout, classic, meditation",8,54,0.574,0.691,6,-7.805,0,0.0336,0.0142,0.000431,0.169,0.767,95.009
id_75911,"ambient, zen, nature, binucalor, chillout, classic, meditation",4,0,0.505,0.255,1,-9.576,1,0.0663,0.831,2.45E-06,0.24,0.343,109.94
id_2720,"relaxing, ambient, binucalor, chillout, classic",2,47,0.505,0.928,5,-5.457,0,0.0319,0.000193,0.134,0.205,0.513,138.023
id_35685,"relaxing, binucalor, chillout, greogrean_chant",5,46,0.535,0.605,5,-9.144,0,0.287,0.51,0.286,0.188,0.662,202.06
id_20949,"classic, zen, binucalor",4,42,0.106,0.116,0,-14.665,1,0.035,0.933,0.931,0.0994,0.0621,58.5
id_80146,"Isochronic, zen, nature, binucalor, chillout, meditation",7,33,0.403,0.614,5,-8.007,0,0.0735,0.00118,0.0018,0.315,0.496,84.964
id_55294,"Isochronic, zen, ambient, greogrean_chant, classic, meditation",5,51,0.543,0.927,0,-5.209,1,0.0755,0.000342,0.543,0.0327,0.354,120.097
id_84079,"relaxing, Isochronic, zen, greogrean_chant, nature, classic",6,27,0.428,0.938,4,-5.434,0,0.148,0.0144,0,0.372,0.18,105.691
id_65240,"ambient, zen, Isochronic, greogrean_chant",4,31,0.377,0.976,6,-3.686,0,0.217,0.000107,0.0936,0.142,0.264,116.062
id_41723,"relaxing, ambient, zen, greogrean_chant, binucalor, chillout",2,40,0.593,0.756,2,-7.287,1,0.0548,0.0454,0.00201,0.311,0.283,103.12
id_40074,"relaxing, zen, greogrean_chant, nature, classic",9,34,0.28,0.406,8,-8.106,1,0.0312,0.507,0.0975,0.117,0.188,172.765
id_55127,"relaxing, classic, meditation, zen",7,43,0.866,0.48,5,-11.812,0,0.155,0.206,0.000163,0.0993,0.566,144.905
id_55504,"relaxing, Isochronic, zen, ambient, binucalor, meditation",2,50,0.415,0.72,7,-11.177,1,0.0492,0.481,0,0.185,0.619,176.785
id_33258,"zen, nature, binucalor, classic, meditation",2,59,0.14,0.641,0,-10.435,1,0.0422,0.000243,0.837,0.108,0.352,170.207
id_49735,"chillout, classic, relaxing, ambient",3,55,0.572,0.747,10,-6.237,1,0.0943,0.13,2.93E-05,0.108,0.3,158.051
id_53678,"Isochronic, zen, binucalor, ambient",7,47,0.41,0.0123,0,-29.161,0,0.0419,0.993,0.9,0.0871,0.0355,119.505
id_51250,"relaxing, greogrean_chant, nature, chillout, meditation",2,26,0.0765,0.0521,5,-18.188,0,0.0431,0.826,0.886,0.092,0.0271,80.809
id_75398,"ambient, zen, Isochronic, greogrean_chant, chillout",3,40,0.513,0.956,5,-5.407,0,0.159,0.00381,0,0.391,0.458,150.181
id_41287,"relaxing, Isochronic, greogrean_chant, nature, binucalor",5,43,0.487,0.797,6,-5.634,0,0.0697,9.37E-05,0.0826,0.248,0.452,156.016
id_2153,"chillout, zen, meditation, greogrean_chant",6,49,0.64,0.486,2,-10.322,1,0.0268,0.568,0.0202,0.7,0.895,112.313
id_58390,"relaxing, Isochronic, ambient, greogrean_chant, nature, binucalor",9,50,0.226,0.585,2,-9.965,1,0.0343,0.128,0.0233,0.112,0.655,180.495
id_12744,"relaxing, Isochronic, ambient, greogrean_chant, binucalor",8,34,0.393,0.649,4,-9.103,0,0.0541,0.69,0,0.159,0.697,114.054
id_58481,"relaxing, zen, greogrean_chant, nature, chillout, classic, meditation",5,61,0.415,0.782,2,-6.745,1,0.0461,0.0011,0,0.14,0.564,135.029
id_34136,"relaxing, zen, greogrean_chant, binucalor, classic",6,42,0.284,0.0791,8,-23.738,1,0.0315,0.967,0.904,0.143,0.036,79.932
id_81018,"Isochronic, greogrean_chant, nature, binucalor, chillout",6,56,0.597,0.655,9,-6.188,1,0.0299,0.00473,5.15E-05,0.607,0.36,121.06
id_4195,"relaxing, Isochronic, ambient, nature, binucalor, chillout, meditation",8,82,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77
id_89651,"Isochronic, zen, greogrean_chant, binucalor, chillout, meditation",8,16,0.777,0.693,1,-10.473,1,0.439,0.246,0.0139,0.249,0.485,126.005
id_90654,"chillout, ambient, zen, greogrean_chant",6,55,0.618,0.662,0,-4.797,1,0.0262,0.0028,0.000724,0.107,0.398,127.985
